province,vote_choice,provincal_proportions
Alberta,0,0.16666666666666666
Alberta,1,0.6083333333333333
Alberta,2,0.13333333333333333
Alberta,4,0.058333333333333334
Alberta,5,0.03333333333333333
British Columbia,0,0.3395061728395062
British Columbia,1,0.35802469135802467
British Columbia,2,0.2037037037037037
British Columbia,4,0.09259259259259259
British Columbia,5,0.006172839506172839
Manitoba,0,0.3333333333333333
Manitoba,1,0.42857142857142855
Manitoba,2,0.16666666666666666
Manitoba,4,0.047619047619047616
Manitoba,5,0.023809523809523808
New Brunswick,0,0.48148148148148145
New Brunswick,1,0.25925925925925924
New Brunswick,2,0.037037037037037035
New Brunswick,4,0.18518518518518517
New Brunswick,5,0.037037037037037035
Newfoundland and Labrador,0,0.625
Newfoundland and Labrador,1,0.20833333333333334
Newfoundland and Labrador,2,0.08333333333333333
Newfoundland and Labrador,4,0.08333333333333333
Nova Scotia,0,0.48148148148148145
Nova Scotia,1,0.1111111111111111
Nova Scotia,2,0.25925925925925924
Nova Scotia,4,0.14814814814814814
Nunavut,0,1
Ontario,0,0.4408352668213457
Ontario,1,0.2877030162412993
Ontario,2,0.16937354988399073
Ontario,4,0.09280742459396751
Ontario,5,0.009280742459396751
Prince Edward Island,0,0.8
Prince Edward Island,4,0.2
Quebec,0,0.3641304347826087
Quebec,1,0.1358695652173913
Quebec,2,0.125
Quebec,3,0.29891304347826086
Quebec,4,0.059782608695652176
Quebec,5,0.016304347826086956
Saskatchewan,0,0.10256410256410256
Saskatchewan,1,0.48717948717948717
Saskatchewan,2,0.28205128205128205
Saskatchewan,4,0.05128205128205128
Saskatchewan,5,0.07692307692307693
